イートパラダイス,eat_paradise_in_front_of_jr_west_exit_old_subako_jr_kyoto_isetan
旧スバコ JR京都伊勢丹,eat_paradise_in_front_of_jr_west_exit_old_subako_jr_kyoto_isetan
旧スバコ,eat_paradise_in_front_of_jr_west_exit_old_subako_jr_kyoto_isetan
スバコ,eat_paradise_in_front_of_jr_west_exit_old_subako_jr_kyoto_isetan
和食小路,washoku_koji
京都劇場,kyoto_theater
劇場,kyoto_theater
京都拉麺小路,kyoto_ramen_koji
拉麺小路,kyoto_ramen_koji
おみやげ街道,souvenir_highway
ビックカメラJR京都店,bic_camera_jr_kyoto_directly_connected_to_nishinotoin_exit
ビックカメラ JR京都店,bic_camera_jr_kyoto_directly_connected_to_nishinotoin_exit
ビックカメラ,bic_camera_jr_kyoto_directly_connected_to_nishinotoin_exit
ビック,bic_camera_jr_kyoto_directly_connected_to_nishinotoin_exit
ホテル近鉄京都駅,hotel_kintetsu_kyoto_station
ホテル近鉄,hotel_kintetsu_kyoto_station
ホテルグランヴィア京都,hotel_granvia_kyoto
ホテルグランヴィア,hotel_granvia_kyoto
鉄道案内所,railway_information_center
鉄道案内,railway_information_center
コトチカ京都 市バス・地下鉄案内所,kotochika_kyoto_city_bus_and_subway_information_center
コトチカ京都 市バス地下鉄案内所,kotochika_kyoto_city_bus_and_subway_information_center
コトチカ京都 バス地下鉄案内所,kotochika_kyoto_city_bus_and_subway_information_center
コトチカ京都 案内所,kotochika_kyoto_city_bus_and_subway_information_center
コトチカ 市バス地下鉄案内所,kotochika_kyoto_city_bus_and_subway_information_center
コトチカ バス地下鉄案内所,kotochika_kyoto_city_bus_and_subway_information_center
京都総合観光案内所,kyoto_general_tourist_information_center
総合観光案内所,kyoto_general_tourist_information_center
観光案内所,kyoto_general_tourist_information_center
観光案内,kyoto_general_tourist_information_center
亰なび,kyoto_general_tourist_information_center
中央口,central_opening
中央,central_opening
八条東口,hachijo_east_exit
八条東,hachijo_east_exit
新幹線八条東口,hachijo_east_exit_of_shinkansen
新幹線八条東,hachijo_east_exit_of_shinkansen
新幹線八条口改札,ticket_gate_of_shinkansen_hachijo
西洞院口,nishinotoin_guchi
西洞院,nishinotoin_guchi
新幹線中央口,shinkansen_chuo_guchi
新幹線中央,shinkansen_chuo_guchi
近鉄改札口,kintetsu_ticket_gate
近鉄改札,kintetsu_ticket_gate
新幹線中央乗換口,shinkansen_central_transfer_gate
新幹線中央乗換,shinkansen_central_transfer_gate
新幹線東乗換口,east_transfer_gate_of_shinkansen
新幹線東乗換,east_transfer_gate_of_shinkansen
西口,west_exit
西,west_exit
地下中央口,underground_central_entrance
地下中央,underground_central_entrance
地下鉄東口,east_exit_of_subway_station
地下鉄東,east_exit_of_subway_station
地下鉄中央口1,metro_central_exit_1
地下鉄中央1,metro_central_exit_1
地下鉄中央口2,central_exit_2
地下鉄中央2,central_exit_2
JR京都駅キャリーサービス Crosta京都,jr_kyoto_station_carry_service_crosta_kyoto
駅キャリーサービス,jr_kyoto_station_carry_service_crosta_kyoto
Crosta京都,jr_kyoto_station_carry_service_crosta_kyoto
Crosta,jr_kyoto_station_carry_service_crosta_kyoto
西改札内コインロッカー,coin_lockers_at_the_west_ticket_gate
